title,love,score,tags,play_times
言叶之庭,326.6万追番,9.7,"[""日常"",""少女"",""治愈""]",3858.4万
Fate/stay night [Unlimited Blade Works] 第二季,325.8万追番,9.5,"[""奇幻"",""热血""]",1800.0万
路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,325.1万追番,9.8,"[""战斗"",""漫画改"",""热血"",""奇幻""]",812.8万
公主连结Re:Dive,322.6万追番,9.5,"[""奇幻"",""战斗"",""魔法"",""冒险""]",9713.7万
路人超能100 II(灵能百分百 第二季),321.7万追番,9.9,"[""战斗"",""漫画改"",""热血"",""奇幻""]",1400.0万
魔法禁书目录 第三季,321.6万追番,8.0,"[""小说改"",""热血"",""战斗"",""校园""]",1200.0万
公主连结 与你重逢 第二季,321.4万追番,5.9,"[""游戏改"",""搞笑"",""冒险"",""萌系""]",3354.9万
甘城光辉游乐园,320.9万追番,9.7,"[""日常"",""奇幻"",""励志"",""职场""]",5848.2万
中二病也要谈恋爱！恋,320.5万追番,9.7,"[""搞笑"",""恋爱""]",6263.3万
Fate/EXTRA Last Encore,320.1万追番,8.8,"[""奇幻"",""战斗"",""游戏改""]",5766万
全员恶玉,316.8万追番,6.2,"[""原创"",""战斗"",""架空"",""科幻""]",1100.0万
轻音少女 第一季,316.6万追番,9.9,"[""音乐"",""漫画改"",""日常"",""校园""]",7124.9万
元气少女缘结神◎,316.5万追番,9.7,"[""奇幻"",""少女"",""神魔""]",6189.6万
黑色四叶草,314.6万追番,9.5,"[""架空"",""漫画改"",""热血"",""战斗""]",4000.0万
约会大作战,312.6万追番,9.3,"[""战斗""]",6086.5万
魔卡少女樱 CLEAR CARD篇,311.3万追番,9.8,"[""少女"",""魔法"",""漫画改""]",8339.6万
工作细胞BLACK,310.2万追番,9.8,"[""漫画改"",""战斗"",""声控""]",8213.4万
在魔王城说晚安,308.9万追番,9.7,"[""漫画改"",""奇幻"",""治愈"",""搞笑""]",8195.5万
会长是女仆大人！,306.9万追番,9.8,"[""日常"",""少女"",""校园"",""恋爱""]",1100.0万
我被逐出队伍后过上慢生活,305.8万追番,8.0,"[""小说改"",""日常"",""恋爱"",""奇幻""]",9895.2万
超能力女儿,305.5万追番,9.6,"[""搞笑"",""日常"",""漫画改"",""奇幻""]",9987.8万
我被逐出队伍后过上慢生活 第二季,305.2万追番,,"[""小说改"",""恋爱"",""战斗"",""日常""]",7.6万
关于前辈很烦人的事,304万追番,9.8,"[""漫画改"",""恋爱"",""职场"",""搞笑""]",7882.2万
打了300年的史莱姆，不知不觉就练到了满级,302.2万追番,9.5,"[""小说改"",""穿越"",""奇幻""]",9836万
极主夫道,302.2万追番,9.7,"[""漫画改"",""搞笑"",""日常""]",6184.4万
某科学的一方通行,301万追番,6.7,"[""漫画改"",""科幻"",""战斗"",""魔法""]",7968万
擅长捉弄的高木同学 第二季,300.2万追番,9.9,"[""漫画改"",""恋爱"",""校园"",""搞笑""]",7720.3万
瓦尼塔斯的手记,299.1万追番,9.7,"[""漫画改"",""奇幻"",""战斗""]",6560.9万
入间同学入魔了,298万追番,9.5,"[""漫画改"",""校园"",""搞笑"",""奇幻""]",1500.0万
光之诅咒者,297.8万追番,8.8,"[""漫画改"",""热血"",""战斗"",""奇幻""]",170万
文豪野犬 汪！,296.3万追番,9.8,"[""漫画改"",""日常"",""搞笑""]",3774.9万
打工吧！魔王大人 第二季,296万追番,7.5,"[""小说改"",""神魔"",""职场"",""架空""]",3495.8万
某科学的超电磁炮S,295.2万追番,9.7,"[""校园"",""战斗"",""奇幻"",""科幻""]",1200.0万
月光下的异世界之旅,291.4万追番,9.1,"[""小说改"",""奇幻"",""穿越""]",8416.3万
魔法少女小圆,290.2万追番,9.8,"[""奇幻"",""魔法"",""穿越"",""原创""]",7845.5万
打工吧！魔王大人,289.3万追番,9.6,"[""架空"",""小说改"",""穿越"",""日常""]",1200.0万
Angel Beats!,288.3万追番,9.8,"[""奇幻"",""校园"",""战斗"",""催泪""]",3368.9万
我女友与青梅竹马的惨烈修罗场,287万追番,8.9,"[""校园"",""恋爱""]",6587.4万
犬夜叉,286.7万追番,9.8,"[""漫画改"",""热血"",""穿越"",""奇幻""]",4000.0万
炎炎消防队,286.1万追番,9.2,"[""漫画改"",""战斗"",""热血"",""奇幻""]",1100.0万
喜欢本大爷的竟然就你一个？,285.9万追番,9.1,"[""小说改"",""校园"",""恋爱""]",9018.4万
如果能写小说就好了,284.5万追番,9.3,"[""小说改"",""恋爱""]",6229.7万
声之形,282.8万追剧,9.6,"[""动画"",""爱情"",""剧情"",""漫画改""]",4248.3万
猫和老鼠喜剧秀,280.6万追番,9.1,"[""少儿"",""搞笑""]",520.8万
玉子爱情故事,280万追番,9.9,"[""校园"",""少女"",""恋爱""]",2854.5万
线上游戏的队友不可能是女生？,279.6万追番,9.0,"[""奇幻"",""校园""]",8236.5万
炎炎消防队 贰之章,279.6万追番,9.1,"[""漫画改"",""热血"",""战斗"",""声控""]",8121万
星掠者,278.8万追番,5.4,"[""架空"",""漫画改"",""奇幻"",""战斗""]",1600.0万
野良神 ARAGOTO,277.3万追番,9.4,"[""奇幻"",""战斗"",""漫画改"",""神魔""]",1300.0万
漆黑的子弹,276.9万追番,9.2,"[""奇幻"",""战斗""]",5035.4万
ReLIFE,275.7万追番,9.9,"[""校园"",""恋爱"",""搞笑"",""治愈""]",4751.2万
夏目友人帐 第五季,274.8万追番,9.8,"[""治愈"",""催泪"",""神魔"",""漫画改""]",6138.4万
幻界战线,274.6万追番,9.6,"[""科幻"",""热血"",""战斗""]",7516.5万
奇蛋物语 / WONDER EGG PRIORITY,273.3万追番,9.7,"[""原创"",""奇幻""]",5180.9万
半妖的夜叉姬 第二季,273.2万追番,5.6,"[""原创"",""奇幻"",""战斗""]",1608.8万
这个美术社大有问题！,272.2万追番,9.8,"[""校园"",""日常""]",6432.9万
小木乃伊到我家,270.6万追番,9.6,"[""漫画改"",""萌系"",""搞笑"",""日常""]",6634.6万
贤者之孙,270.5万追番,6.8,"[""穿越"",""架空"",""奇幻"",""小说改""]",9456.9万
终结的炽天使 名古屋决战篇,268万追番,8.8,"[""奇幻"",""校园"",""战斗""]",1300.0万
赛马娘 第三季,266.8万追番,6.7,"[""原创"",""运动"",""热血"",""偶像""]",598.9万
强风吹拂,266.6万追番,9.9,"[""运动"",""励志"",""小说改"",""热血""]",8758.9万
Fate/Zero 第二季,266.5万追番,9.7,"[""时泪"",""奇幻"",""战斗"",""热血""]",1500.0万
宇崎学妹想要玩！,265.3万追番,9.4,"[""漫画改"",""搞笑"",""校园""]",9212.3万
食戟之灵,264万追番,9.5,"[""美食"",""热血""]",1900.0万
Fate/Grand Order ‐First Order‐,263.8万追番,8.3,"[""战斗"",""游戏改""]",3730.6万
侦探已死,262.7万追番,7.1,"[""小说改"",""冒险"",""奇幻"",""战斗""]",5600.3万
在地下城寻求邂逅是否搞错了什么 第三季,262.3万追番,9.2,"[""冒险"",""架空"",""奇幻"",""小说改""]",3522万
精灵幻想记,260.4万追番,7.3,"[""小说改"",""奇幻"",""穿越""]",8593.1万
好比是最终迷宫前的少年到新手村生活一般的故事,260.2万追番,7.8,"[""小说改"",""搞笑"",""冒险""]",8124.5万
落第骑士英雄谭,260.2万追番,9.5,"[""校园"",""战斗"",""架空"",""冒险""]",1100.0万
约会大作战 第三季,259.8万追番,7.9,"[""小说改"",""萌系"",""奇幻"",""战斗""]",6883.5万
齐木楠雄的灾难 第二季,259.8万追番,9.8,"[""搞笑"",""校园"",""漫画改"",""奇幻""]",1600.0万
我们的重制人生,258.1万追番,9.6,"[""小说改"",""校园"",""日常"",""社团""]",6675.7万
怪物事变,257.6万追番,9.6,"[""漫画改"",""奇幻"",""神魔""]",5481.7万
愤怒的审判,257.4万追番,6.2,"[""漫画改"",""热血"",""战斗"",""奇幻""]",4230.8万
少女终末旅行,257.2万追番,9.8,"[""奇幻"",""漫画改"",""冒险"",""架空""]",4096.6万
