title,love,score,tags,play_times
漆黑的子弹,251.6万追番,9.2,"['奇幻', '战斗']",4196.5万
Fate/Grand Order ‐First Order‐,250.6万追番,8.3,"['战斗', '游戏改']",3321.6万
侦探已死,250.3万追番,7.1,"['小说改', '冒险', '奇幻', '战斗']",5108.8万
请问您今天要来点兔子吗？BLOOM,250万追番,9.9,"['漫画改', '日常', '萌系', '治愈']",1464.8万
轻音少女 第一季,249万追番,9.9,"['日常', '校园', '音乐', '漫画改']",4271.6万
落第骑士英雄谭,248.5万追番,9.4,"['校园', '战斗', '架空', '冒险']",10000.0万
Angel Beats!,247.7万追番,9.8,"['奇幻', '校园', '战斗', '催泪']",2331万
精灵幻想记,247.1万追番,7.3,"['小说改', '奇幻', '穿越']",7623.1万
猫和老鼠（1975）,246.8万追番,9.8,"['搞笑', '少儿']",393.7万
星掠者,245万追番,5.4,"['漫画改', '奇幻', '搞笑', '战斗']",11000.0万
装甲重拳/MEGALOBOX 第二季,244.6万追番,9.9,"['原创', '热血', '科幻', '运动']",3415.5万
ULTRAMAN 机动奥特曼 第二季,243.5万追番,7.9,"['漫画改', '特摄', '奇幻', '战斗']",580万
EVA 新世纪福音战士,243.3万追番,9.7,"['科幻', '机战', '战斗']",8690.5万
我，不是说了能力要平均值么！,242.5万追番,8.2,"['小说改', '穿越', '奇幻', '萌系']",7295.1万
齐木楠雄的灾难 第二季,242万追番,9.8,"['搞笑', '校园', '漫画改']",12000.0万
君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,241.2万追番,9.7,"['小说改', '奇幻', '魔法', '冒险']",5215.8万
宇崎学妹想要玩！,240.9万追番,9.4,"['漫画改', '搞笑', '校园']",6691.1万
死神少爷与黑女仆,240.7万追番,9.7,"['日常', '恋爱', '少女', '漫画改']",4475.7万
Fate/Zero 第二季,240.1万追番,9.6,"['时泪', '奇幻', '战斗', '热血']",13000.0万
我们的重制人生,239.7万追番,9.6,"['小说改', '校园', '日常', '社团']",5795.3万
少女终末旅行,239.1万追番,9.8,"['奇幻', '漫画改', '冒险', '架空']",3702.5万
ULTRAMAN 机动奥特曼 第二季（中配）,238.1万追番,8.3,"['漫画改', '特摄', '奇幻', '战斗']",122.1万
声之形,237.6万追剧,9.6,"['动画', '爱情', '剧情', '漫画改']",3230.7万
怪物事变,237.3万追番,9.6,"['漫画改', '奇幻', '神魔']",4861.5万
魔法纪录 魔法少女小圆外传 第二季,237.2万追番,7.8,"['游戏改', '奇幻', '战斗', '魔法']",896.8万
天才王子的赤字国家振兴术,236万追番,9.5,"['小说改', '架空', '奇幻']",6187.2万
终结的炽天使 名古屋决战篇,235万追番,8.8,"['奇幻', '校园', '战斗']",10000.0万
CAROLE & TUESDAY,234.7万追番,9.7,"['原创', '科幻', '音乐', '励志']",6678.7万
骑士&魔法,234.3万追番,8.8,"['小说改', '机战', '奇幻', '魔法']",8951.1万
此花亭奇谭,233.7万追番,9.8,"['萌系', '漫画改', '日常', '治愈']",3583.3万
我的妹妹不可能那么可爱 第一季,233.4万追番,9.2,"['萌系', '校园', '日常', '恋爱']",4358.5万
属性咖啡厅,233.0万追番,9.6,"['萌系', '少女', '日常', '漫画改']",4940.6万
犬夜叉,232.8万追番,9.9,"['漫画改', '热血', '穿越', '奇幻']",25000.0万
这个美术社大有问题！,232.7万追番,9.8,"['校园', '日常']",5248.2万
K,232.1万追番,9.4,"['奇幻', '战斗', '声控']",3090.5万
重来吧，魔王大人！,230.9万追番,8.3,"['小说改', '奇幻', '魔法', '穿越']",6563.8万
玉子爱情故事,229.4万追番,9.9,"['校园', '少女', '恋爱']",2056万
你与我最后的战场，亦或是世界起始的圣战,227.4万追番,7.9,"['冒险', '战斗', '奇幻', '恋爱']",5753.7万
食戟之灵 贰之皿,225.4万追番,9.4,"['热血', '美食']",9525.6万
伪恋,221.5万追番,9.3,"['漫画改', '搞笑', '日常', '校园']",3335.7万
装甲重拳/MEGALOBOX,221.4万追番,9.8,"['运动', '科幻', '原创', '热血']",6144.3万
